取引先名,分類
共栄フード株式会社　東京営業所,フード
株式会社マルヤス,フード
株式会社河幸,フード
株式会社西原商会,フード
株式会社ユタカ,フード
コカ・コーラボトラーズジャパン株式会社（東京）　お客様ＳＣ,ドリンク
株式会社大光　横浜支店【新】,フード
かいせい物産株式会社,フード
株式会社シャチホウ,フード
株式会社東八,フード
株式会社ヒョウベイ,フード
株式会社オレンジパック,備品
株式会社ハンスイ,フード
尾家産業株式会社,フード
ホシザキ京阪株式会社,備品
日本食研株式会社【新】,フード
アイン食品株式会社,フード
株式会社トーホーフードサービス　グループ,フード
株式会社ＨＡＳＳＩＮ,フード
丸大フード株式会社（西日本　ＭＦ大阪営業所）,フード
株式会社北野酒店,ドリンク
(自社加工品),フード
株式会社ジョウショー,フード
株式会社ヤスイ,フード
株式会社チャプター・ワン,フード
株式会社ＷｉＮ,フード
沖物産株式会社　販売課,フード
共栄フード株式会社　関西支社,フード
株式会社オレンジエッグ,フード
有限会社山金（旧（株）ＩＳＳＩＮ）,フード
三和物産株式会社,フード
高瀬物産株式会社（大阪支店）,フード
株式会社吉商大阪,フード
株式会社マツヤ,フード
株式会社ツルミ製麺所,フード
岡山フードサービス株式会社,フード
株式会社大国フーズ,フード
株式会社日本かきセンター,フード
株式会社大阪めいらく,フード
株式会社牛長,フード
ビタミン乳業株式会社,フード
タカナシ販売株式会社,フード
株式会社廣記商行,フード
淡路麺業株式会社,フード
株式会社本間松蔵商店,フード
ザ・フィッシュファクトリー・ジャパン株式会社　尼崎支店,フード
ザ・フィッシュファクトリー・ジャパン株式会社　大阪支店,フード
株式会社オリエンタルベーカリー,フード
株式会社海老正　受注センター,フード
高瀬物産株式会社（京都支店）,フード
株式会社マツヤ　京都支店,フード
タカナシ販売株式会社　大阪支店,フード
株式会社ＰＦＣ,フード
株式会社エス・エー・アイ・グループ,フード
太陽製麺所株式会社,フード
三和物産株式会社　神戸出張所,フード
株式会社マツヤ　神戸支店,フード
株式会社キンカツコーポレーション,フード
株式会社八代目儀兵衛,フード
株式会社大光　大阪支店【新】,フード
株式会社乾酒店,ドリンク
株式会社桶谷,ドリンク
キーコーヒー株式会社,ドリンク
コカ・コーラ　ボトラーズジャパン株式会社（旧近畿シロップ）,ドリンク
株式会社幸之茶屋,ドリンク
株式会社ビッグメイク,ドリンク
サントリービバレッジソリューション株式会社　近畿,ドリンク
株式会社桶谷（旧　きのい）,ドリンク
株式会社奥田商店（旧南海酒販）,ドリンク
株式会社河内屋ジェノス,ドリンク
リーテイルブランディング株式会社,備品
株式会社ＫＣＣ,備品
株式会社前田木材,備品
株式会社トータルフーズシステム,備品
水野産業株式会社　大阪支店,備品
むらめん株式会社,フード
ＮＦトレーディング株式会社,フード
株式会社ショクリュー　大阪営業課,フード
株式会社北栄水産,フード
